assetid,assetref,assetdesc,assetgroup,prodgroup,company,city,department,building,room,purdate,purprice,depterm,assetage,tddep,bookvalue,opstatus,maintstatus
12,MLGPW/OPS/270/41,Air Conditioner - Free Standing,Equipment - Office,Payment Equipment,MLGPW,Harare,Public Works,Head Office,106,2007/06/22,4371,4,1203,3599.12,771.88,Operational,In Use
13,MLGPW/OPS/210/22,Dispenser Unit,Equipment - Office,Payment Equipment,MLGPW,Harare,Public Works,Head Office,201,2007/03/22,38425.79,4,1295,34059.82,4365.97,Operational,In Use
14,MLGPW/OPS/210/23,Dispenser Unit,Equipment - Office,Payment Equipment,MLGPW,Harare,Public Works,Head Office,201,2028/09/21,32857.6,4,1455,32722.66,134.94,Operational,In Use
15,MLGPW/OPS/210/24,Dispenser Unit,Equipment - Office,Payment Equipment,MLGPW,Harare,Public Works,Head Office,101,2028/09/21,32857.6,4,1455,32722.66,134.94,Operational,In Use
16,MLGPW/OPS/002/28,Laptop,Equipment - Computers,Computers,MLGPW,Bulawayo,Administration,Bulawayo Office,101,2013/06/22,9428.85,4,1197,7725.07,1703.78,Operational,In Use
17,MLGPW/OPS/002/14,Laptop,Equipment - Computers,Computers,MLGPW,Gweru,Administration,Gweru Office,A100,2013/06/22,9428.85,4,1197,7725.07,1703.78,Operational,In Use
18,MLGPW/OPS/002/29,Laptop,Equipment - Computers,Computers,MLGPW,Bulawayo,Administration,Bulawayo Office,102,2013/06/22,9428.85,4,1197,7725.07,1703.78,Operational,In Use
19,MLGPW/OPS/210/008,Dispenser Unit,Equipment - Office,Payment Equipment,MLGPW,Gweru,Public Works,Gweru Office,A103,2016/03/21,33597.05,4,1651,33597.05,0,Operational,In Use
20,MLGPW/OPS/210/22,Dispenser Unit,Equipment - Office,Payment Equipment,MLGPW,Bulawayo,Administration,Bulawayo Office,102,2016/03/21,33597.05,4,1651,33597.05,0,Operational,In Use
21,MLGPW/OPS/210/23,Dispenser Unit,Equipment - Office,Payment Equipment,MLGPW,Bulawayo,Administration,Bulawayo Office,103,2016/03/21,33597.05,4,1651,33597.05,0,Operational,In Use
22,MLGPW/TEC/210/001,Dispenser Unit,Equipment - Office,Payment Equipment,MLGPW,Harare,Public Works,Head Office,101,2016/03/21,33597.05,4,1651,33597.05,0,Operational,In Use
23,MLGPW/TEC/210/002,Dispenser Unit,Equipment - Office,Payment Equipment,MLGPW,Harare,Public Works,Head Office,201,2016/03/21,33597.05,4,1651,33597.05,0,Operational,In Use
24,MLGPW/TEC/210/003,Dispenser Unit,Equipment - Office,Payment Equipment,MLGPW,Harare,Public Works,Head Office,202,2007/03/22,38425.79,4,1295,34059.82,4365.97,Operational,In Use
25,MLGPW/TEC/006/002,Servers,Equipment - Computers,Computers,MLGPW,Harare,Public Works,Head Office,101,2003/02/22,15906,4,1327,14447.13,1458.87,Operational,In Use
26,MLGPW/OPS/270/42,Air Conditioner - Free Standing,Equipment - Office,Payment Equipment,MLGPW,Harare,Public Works,Head Office,202,2003/09/21,2304.35,4,1480,2304.35,0,Operational,In Use
27,MLGPW/OPS/270/43,Air Conditioner - Free Standing,Equipment - Office,Payment Equipment,MLGPW,Harare,Public Works,Head Office,105,2003/09/21,2304.35,4,1480,2304.35,0,Operational,In Use
28,MLGPW/LOG/230/44,Inverter/UPS,Equipment - Office,Payment Equipment,MLGPW,Harare,Public Works,Head Office,105,2007/02/22,2034.78,4,1323,1842.58,192.2,Operational,In Use
29,MLGPW/LOG/230/45,Inverter/UPS,Equipment - Office,Payment Equipment,MLGPW,Harare,Public Works,Head Office,105,2007/02/22,2034.78,4,1323,1842.58,192.2,Operational,In Use
30,MLGPW/LOG/230/46,Inverter/UPS,Equipment - Office,Payment Equipment,MLGPW,Harare,Public Works,Head Office,105,2022/10/21,2786.98,4,1431,2729.75,57.23,Operational,In Use
31,MLGPW/LOG/230/47,Inverter/UPS,Equipment - Office,Payment Equipment,MLGPW,Harare,Public Works,Head Office,105,2022/10/21,2786.98,4,1431,2729.75,57.23,Operational,In Use
32,MLGPW/IT/002/27,Laptop,Equipment - Computers,Computers,MLGPW,Harare,Provincial Affairs and Devolution,Head Office,102,2020/12/21,8797,4,1372,8261.11,535.89,Operational,In Use
33,MLGPW/IT/002/28,Laptop,Equipment - Computers,Computers,MLGPW,Harare,Urban Development,Head Office,103,2020/12/21,8797,4,1372,8261.11,535.89,Operational,In Use
34,MLGPW/FIN/001/001,Desktop computer,Equipment - Computers,Computers,MLGPW,Harare,Rural Development,Head Office,103,2001/12/21,3608.7,4,1391,3435.8,172.9,Operational,In Use
35,MLGPW/FIN/004/001,Monitor,Equipment - Computers,Computers,MLGPW,Harare,Local Government,Head Office,103,2001/12/21,1000,4,1391,952.09,47.91,Operational,In Use
36,MLGPW/BL/313/002,Concept Desk with mobile pedestal drawer,Furniture and Fixtures,Desks,MLGPW,Harare,Administration,Head Office,102,2001/12/21,2240,4,1391,2132.68,107.32,Operational,In Use
37,MLGPW/ADM//001,Highback leather chair,Furniture and Fixtures,Chairs,MLGPW,Harare,Public Works,Head Office,201,2001/12/21,825.22,4,1391,785.68,39.54,Operational,In Use
38,MLGPW/OPS/331/003,2 door wooden cupboard,Furniture and Fixtures,Cupboards and Cabinets,MLGPW,Harare,Public Works,Head Office,201,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
39,MLGPW/OPS/270/105,Air Conditioner - Free Standing,Equipment - Office,Payment Equipment,MLGPW,Bulawayo,Urban Development,Bulawayo Office,104,2005/01/23,3082.61,4,991,2090.94,991.67,Operational,In Use
40,MLGPW/FIN/312/001,Visitor's chair,Furniture and Fixtures,Chairs,MLGPW,Harare,Public Works,Head Office,202,2001/12/21,624,4,1391,594.1,29.9,Operational,In Use
41,MLGPW/LOG/313/003,Highback leather chair,Furniture and Fixtures,Chairs,MLGPW,Harare,Public Works,Head Office,202,2001/12/21,825.22,4,1391,785.68,39.54,Operational,In Use
42,MLGPW/LOG/341/002,Concept Desk with mobile pedestal drawer,Furniture and Fixtures,Desks,MLGPW,Harare,Urban Development,Head Office,103,2001/12/21,1213,4,1391,1154.88,58.12,Operational,In Use
43,MLGPW/LOG/333/001,Key Cabinet,Furniture and Fixtures,Cupboards and Cabinets,MLGPW,Harare,Public Works,Head Office,104,2001/12/21,623.2,4,1391,593.34,29.86,Operational,In Use
44,MLGPW/LOG/003/001,Notebook,Equipment - Computers,Computers,MLGPW,Harare,Public Works,Head Office,105,2001/12/21,4043.48,4,1391,3849.75,193.73,Operational,In Use
45,MLGPW/LOG/312/001,Visitor's chair,Furniture and Fixtures,Chairs,MLGPW,Harare,Public Works,Head Office,202,2001/12/21,1596,4,1391,1519.53,76.47,Operational,In Use
46,MLGPW/FIN/001/001,Desktop computer,Equipment - Computers,Computers,MLGPW,Harare,Public Works,Head Office,105,2001/12/21,3608.7,4,1391,3435.8,172.9,Operational,In Use
47,MLGPW/FIN/004/001,Monitor,Equipment - Computers,Computers,MLGPW,Harare,Public Works,Head Office,105,2001/12/21,1000,4,1391,952.09,47.91,Operational,In Use
48,MLGPW/FIN/140/001,Yale Digital safe,Equipment - Office,Safes,MLGPW,Harare,Public Works,Head Office,106,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
49,MLGPW/FIN/341/001,Concept Desk with fixed pedestal drawer,Furniture and Fixtures,Desks,MLGPW,Harare,Rural Development,Head Office,103,2001/12/21,7430.44,4,1391,7074.43,356.01,Operational,In Use
50,MLGPW/FIN/313/001,Highback leather chair,Furniture and Fixtures,Chairs,MLGPW,Harare,Public Works,Head Office,202,2001/12/21,825.22,4,1391,785.68,39.54,Idle/ Standby,In Use
51,MLGPW/FIN/342/001,Kyla 2 drawer filer desk,Furniture and Fixtures,Desks,MLGPW,Harare,Local Government,Head Office,103,2001/12/21,1480,4,1391,1409.09,70.91,Operational,In Use
52,MLGPW/LOG/001/001,Desktop computer 8GB,Equipment - Computers,Computers,MLGPW,Harare,Public Works,Head Office,106,2026/04/22,0.01,4,1245,0.01,0,Operational,In Use
53,MLGPW/LOG/001/004,Desktop computer,Equipment - Computers,Computers,MLGPW,Harare,Public Works,Head Office,106,2001/12/21,3608.7,4,1391,3435.8,172.9,Operational,In Use
54,MLGPW/LOG/004/002,Monitor,Equipment - Computers,Computers,MLGPW,Harare,Public Works,Head Office,201,2001/12/21,1000,4,1391,952.09,47.91,Operational,In Use
55,MLGPW/LOG/313/001,Highback leather chair,Furniture and Fixtures,Chairs,MLGPW,Harare,Public Works,Head Office,101,2001/12/21,825.22,4,1391,785.68,39.54,Operational,In Use
56,MLGPW/SEC/312/001,Visitor Chair,Furniture and Fixtures,Chairs,MLGPW,Harare,Administration,Head Office,102,2001/12/21,1596,4,1391,1519.53,76.47,Operational,In Use
57,MLGPW/LOG/371/002,Concept Cluster table,Furniture and Fixtures,Tables,MLGPW,Harare,Public Works,Head Office,202,2001/12/21,1480,4,1391,1409.09,70.91,Operational,In Use
58,MLGPW/LOG/341/001,Concept Desk with mobile pedestal drawer,Furniture and Fixtures,Desks,MLGPW,Harare,Public Works,Head Office,105,2001/12/21,3670.44,4,1391,3494.58,175.86,Operational,In Use
59,MLGPW/ADM/001/002,Desktop computer,Equipment - Computers,Computers,MLGPW,Harare,Public Works,Head Office,104,2001/12/21,3608.7,4,1391,3435.8,172.9,Operational,In Use
60,MLGPW/ADM/004/002,Monitor,Equipment - Computers,Computers,MLGPW,Harare,Public Works,Head Office,104,2001/12/21,1000,4,1391,952.09,47.91,Operational,In Use
61,MLGPW/BL/342/001,Kyla 2 drawer filer desk,Furniture and Fixtures,Desks,MLGPW,Harare,Public Works,Head Office,105,2001/12/21,1480,4,1391,1409.09,70.91,Operational,In Use
62,MLGPW/ADM/313/002,Highback leather chair,Furniture and Fixtures,Chairs,MLGPW,Harare,Urban Development,Head Office,103,2001/12/21,865.23,4,1391,823.77,41.46,Operational,In Use
63,MLGPW/OPS/003/001,Notebook,Equipment - Computers,Computers,MLGPW,Harare,Administration,Head Office,104,2001/12/21,4043.48,4,1391,3849.75,193.73,Operational,In Use
64,MLGPW/OPS/342/001,Kyla 3 drawer filer desk,Furniture and Fixtures,Desks,MLGPW,Harare,Public Works,Head Office,106,2001/12/21,1480,4,1391,1409.09,70.91,Operational,In Use
65,MLGPW/OPS/313/001,Highback leather chair,Furniture and Fixtures,Chairs,MLGPW,Harare,Rural Development,Head Office,103,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
66,MLGPW/SEC/313/001,Highback leather chair,Furniture and Fixtures,Chairs,MLGPW,Harare,Local Government,Head Office,103,2001/12/21,825.22,4,1391,785.68,39.54,Operational,In Use
67,MLGPW/SEC/004/001,Monitor : CCTV System,Equipment - Computers,Computers,MLGPW,Harare,Public Works,Head Office,105,2001/12/21,826.09,4,1391,786.51,39.58,Operational,In Use
68,MLGPW/OPS/521/001,Defy Microwave,Equipment - Office,Microwave,MLGPW,Gweru,Public Works,Gweru Office,A102,2014/08/22,1713.04,4,1135,1330.8,382.24,Operational,In Use
69,MLGPW/IT/312/002,Visitor's chair,Furniture and Fixtures,Chairs,MLGPW,Harare,Public Works,Head Office,105,2001/12/21,624,4,1391,594.1,29.9,Operational,In Use
70,MLGPW/IT/312/001,Visitor's chair,Furniture and Fixtures,Chairs,MLGPW,Harare,Public Works,Head Office,105,2001/12/21,624,4,1391,594.1,29.9,Operational,In Use
71,MLGPW/LOG/001/003,Desktop computer,Equipment - Computers,Computers,MLGPW,Harare,Public Works,Head Office,106,2001/12/21,3608.7,4,1391,3435.8,172.9,Operational,Due For Service
72,MLGPW/LOG/004/003,Monitor,Equipment - Computers,Computers,MLGPW,Harare,Public Works,Head Office,106,2001/12/21,1000,4,1391,952.09,47.91,Operational,In Use
73,MLGPW/OPS/190/001,Fans & Heaters,Equipment - Office,Fans & Heaters,MLGPW,Gweru,Administration,Gweru Office,A101,2015/08/22,868.7,4,1134,674.27,194.43,Operational,In Use
74,MLGPW/OPS/190/002,Fans & Heaters,Equipment - Office,Fans & Heaters,MLGPW,Gweru,Administration,Gweru Office,A101,2016/08/22,868.7,4,1133,673.67,195.03,Operational,In Use
75,MLGPW/LOG/313/002,Highback leather chair,Furniture and Fixtures,Chairs,MLGPW,Harare,Public Works,Head Office,106,2001/12/21,825.22,4,1391,785.68,39.54,Operational,In Use
76,MLGPW/LOG/371/001,Concept Cluster table,Furniture and Fixtures,Tables,MLGPW,Harare,Public Works,Head Office,202,2001/12/21,2240,4,1391,2132.68,107.32,Operational,In Use
77,MLGPW/LOG/341/003,Concept Desk with mobile pedestal drawer,Furniture and Fixtures,Desks,MLGPW,Harare,Public Works,Head Office,106,2001/12/21,2240,4,1391,2132.68,107.32,Operational,In Use
78,MLGPW/MD/003/001,Notebook,Equipment - Computers,Computers,MLGPW,Harare,Public Works,Head Office,106,2001/12/21,18052.98,4,1391,17188.02,864.96,Operational,In Use
79,MLGPW/MD/100/001,Television,Equipment - Office,Audio Visual,MLGPW,Harare,Public Works,Head Office,106,2001/12/21,7306.87,4,1391,6956.78,350.09,Operational,In Use
80,MLGPW/MD/340/001,Concept desk,Furniture and Fixtures,Desks,MLGPW,Harare,Public Works,Head Office,201,2001/12/21,2240,4,1391,2132.68,107.32,Operational,In Use
81,MLGPW/MD/335/001,Supersonic Sliding Door cupboard,Furniture and Fixtures,Cupboards and Cabinets,MLGPW,Harare,Administration,Head Office,104,2001/12/21,1789.6,4,1391,1703.86,85.74,Operational,In Use
82,MLGPW/MD/372/001,Kyla Conference table,Furniture and Fixtures,Tables,MLGPW,Harare,Public Works,Head Office,101,2001/12/21,1613.6,4,1391,1536.29,77.31,Operational,In Use
83,MLGPW/MD/313/001,Highback leather chair,Furniture and Fixtures,Chairs,MLGPW,Harare,Public Works,Head Office,106,2001/12/21,865.23,4,1391,823.77,41.46,Operational,In Use
84,MLGPW/MD/334/001,Kyla Cabinet 2 Tier Doors 3 Tier Glass,Furniture and Fixtures,Cupboards and Cabinets,MLGPW,Harare,Administration,Head Office,104,2001/12/21,6005.87,4,1391,5718.11,287.76,Operational,In Use
85,MLGPW/MD/110/001,Fridges,Equipment - Office,Fridges,MLGPW,Harare,Public Works,Head Office,105,2001/12/21,2173.04,4,1391,2068.92,104.12,Operational,In Use
86,MLGPW/ADM/001/001,Desktop computer,Equipment - Computers,Computers,MLGPW,Harare,Public Works,Head Office,106,2001/12/21,3608.7,4,1391,3435.8,172.9,Operational,In Use
87,MLGPW/ADM/004/001,Monitor,Equipment - Computers,Computers,MLGPW,Harare,Public Works,Head Office,101,2001/12/21,1000,4,1391,952.09,47.91,Operational,In Use
88,MLGPW/ADM/313/001,Highback leather chair,Furniture and Fixtures,Chairs,MLGPW,Harare,Public Works,Head Office,201,2001/12/21,825.22,4,1391,785.68,39.54,Operational,In Use
89,MLGPW/ADM/350/001,Mobile Pedestal Drawer,Furniture and Fixtures,Drawers,MLGPW,Harare,Public Works,Head Office,201,2001/12/21,1430.44,4,1391,1361.9,68.54,Operational,In Use
90,MLGPW/ADM/380/001,Angel Water Container,Furniture and Fixtures,Water Containers,MLGPW,Harare,Administration,Head Office,102,2001/12/21,769.59,4,1391,732.72,36.87,Operational,In Use
91,MLGPW/ADM/001/001,Desktop computer,Equipment - Computers,Computers,MLGPW,Bulawayo,Administration,Bulawayo Office,103,2001/12/21,3608.7,4,1391,3435.8,172.9,Operational,In Use
92,MLGPW/ADM/004/001,Monitor : Camera AOC,Equipment - Computers,Computers,MLGPW,Bulawayo,Urban Development,Bulawayo Office,104,2001/12/21,1000,4,1391,952.09,47.91,Operational,In Use
93,MLGPW/ADM/313/003,Highback chair,Furniture and Fixtures,Chairs,MLGPW,Bulawayo,Public Works,Bulawayo Office,102,2001/12/21,865.22,4,1391,823.77,41.45,Operational,Under Maintenance
94,MLGPW/ADM/341/002,Concept Desk with mobile pedestal drawer,Furniture and Fixtures,Desks,MLGPW,Bulawayo,Administration,Bulawayo Office,103,2001/12/21,1213,4,1391,1154.88,58.12,Operational,In Use
95,MLGPW/ADM/330/002,2 door steel cupboard,Furniture and Fixtures,Cupboards and Cabinets,MLGPW,Bulawayo,Administration,Bulawayo Office,105,2001/12/21,1432,4,1391,1363.39,68.61,Operational,In Use
96,MLGPW/ADM/332/001,4 drawer filing cabinet,Furniture and Fixtures,Cupboards and Cabinets,MLGPW,Bulawayo,Provincial Affairs and Devolution,Bulawayo Office,101,2001/12/21,1545.5,4,1391,1471.45,74.05,Operational,In Use
97,MLGPW/OPS/110/002,Bar Fridge 130 Litre,Equipment - Office,Fridges,MLGPW,Gweru,Administration,Gweru Office,A101,2017/08/22,2694.78,4,1132,2087.95,606.83,Operational,In Use
98,MLGPW/OPS/110/001,Fridges,Equipment - Office,Fridges,MLGPW,Bulawayo,Local Government,Bulawayo Office,105,2018/08/22,2694.78,4,1131,2086.1,608.68,Operational,In Use
99,MLGPW/OPS/313/002,Highback leather chair,Furniture and Fixtures,Chairs,MLGPW,Harare,Public Works,Head Office,201,2001/12/21,825.22,4,1391,785.68,39.54,Operational,In Use
100,MLGPW/OPS/310/001,Bench Chair with 4 seats,Furniture and Fixtures,Chairs,MLGPW,Harare,Public Works,Head Office,104,2001/12/21,4966.4,4,1391,4728.45,237.95,Operational,In Use
101,MLGPW/OPS/340/001,Concept desk,Furniture and Fixtures,Desks,MLGPW,Harare,Public Works,Head Office,201,2001/12/21,2240,4,1391,2132.68,107.32,Operational,In Use
102,MLGPW/OPS/001/002,HP Desktop computer,Equipment - Computers,Computers,FINIP,Bulawayo,Local Government,Bulawayo Office,105,2001/12/21,3878.26,4,1391,3692.44,185.82,Operational,In Use
103,MLGPW/OPS/341/002,Concept Desk with mobile pedestal drawer,Furniture and Fixtures,Desks,MLGPW,Bulawayo,Local Government,Bulawayo Office,105,2001/12/21,1213,4,1391,1154.88,58.12,Operational,In Use
104,MLGPW/OPS/330/002,2 door steel cupboard,Furniture and Fixtures,Cupboards and Cabinets,MLGPW,Bulawayo,Local Government,Bulawayo Office,101,2001/12/21,1500,4,1391,1428.13,71.87,Operational,In Use
105,MLGPW/OPS/313/002,Highback Chair,Furniture and Fixtures,Chairs,MLGPW,Bulawayo,Administration,Bulawayo Office,103,2001/12/21,865.22,4,1391,823.77,41.45,Idle/ Standby,In Use
106,MLGPW/FIN/001/001,HP Desktop computer,Equipment - Computers,Computers,MLGPW,Bulawayo,Administration,Bulawayo Office,105,2001/12/21,3878.26,4,1391,3692.44,185.82,Operational,In Use
107,MLGPW/FIN/313/001,Highback Chair,Furniture and Fixtures,Chairs,MLGPW,Bulawayo,Urban Development,Bulawayo Office,104,2001/12/21,865.22,4,1391,823.77,41.45,Operational,In Use
108,MLGPW/FIN/341/001,Concept Desk with mobile pedestal drawer,Furniture and Fixtures,Desks,MLGPW,Bulawayo,Administration,Bulawayo Office,105,2001/12/21,2240,4,1391,2132.68,107.32,Operational,In Use
109,MLGPW/FIN/330/001,2 door steel cupboard,Furniture and Fixtures,Cupboards and Cabinets,MLGPW,Bulawayo,Public Works,Bulawayo Office,102,2001/12/21,1432,4,1391,1363.39,68.61,Operational,In Use
110,MLGPW/ADM/341/001,Concept Desk with mobile pedestal drawer,Furniture and Fixtures,Desks,MLGPW,Bulawayo,Urban Development,Bulawayo Office,104,2001/12/21,1213,4,1391,1154.88,58.12,Operational,In Use
111,MLGPW/ADM/312/001,Visitor's chair,Furniture and Fixtures,Chairs,MLGPW,Bulawayo,Local Government,Bulawayo Office,105,2001/12/21,624,4,1391,594.1,29.9,Operational,In Use
112,MLGPW/OPS/312/003,Visitor's chair,Furniture and Fixtures,Chairs,MLGPW,Gweru,Public Works,Gweru Office,A102,2001/12/21,2604.35,4,1391,2479.57,124.78,Operational,In Use
113,MLGPW/OPS/312/002,Visitor's chair,Furniture and Fixtures,Chairs,MLGPW,Gweru,Public Works,Gweru Office,A102,2001/12/21,624,4,1391,594.1,29.9,Operational,In Use
114,MLGPW/OPS/312/001,Visitor's chair,Furniture and Fixtures,Chairs,MLGPW,Gweru,Public Works,Gweru Office,A102,2001/12/21,2604.35,4,1391,2479.57,124.78,Operational,In Use
115,MLGPW/MD/314/001,Network Square Stacker Chair,Furniture and Fixtures,Chairs,MLGPW,Harare,Administration,Head Office,104,2001/12/21,1446.4,4,1391,1377.1,69.3,Operational,In Use
116,MLGPW/ADM/312/001,Visitor's chair,Furniture and Fixtures,Chairs,MLGPW,Harare,Administration,Head Office,104,2001/12/21,624,4,1391,594.1,29.9,Operational,In Use
117,MLGPW/ADM/312/002,Visitor's chair,Furniture and Fixtures,Chairs,MLGPW,Harare,Public Works,Head Office,105,2001/12/21,624,4,1391,594.1,29.9,Operational,In Use
118,MLGPW/ADM/312/003,Visitor's chair,Furniture and Fixtures,Chairs,MLGPW,Harare,Public Works,Head Office,106,2001/12/21,1446.4,4,1391,1377.1,69.3,Operational,In Use
119,MLGPW/ADM/312/003,Visitor's chair,Furniture and Fixtures,Chairs,MLGPW,Bulawayo,Administration,Bulawayo Office,105,2001/12/21,556,4,1391,529.36,26.64,Operational,In Use
120,MLGPW/OPS/312/002,Visitor's chair,Furniture and Fixtures,Chairs,MLGPW,Bulawayo,Public Works,Bulawayo Office,101,2001/12/21,624,4,1391,594.1,29.9,Operational,In Use
121,MLGPW/OPS/312/003,Visitor's chair,Furniture and Fixtures,Chairs,MLGPW,Bulawayo,Public Works,Bulawayo Office,102,2001/12/21,624,4,1391,594.1,29.9,Operational,In Use
122,MLGPW/OPS/851/006,CCTV Monitor,Equipment Security,Guns,MLGPW,Bulawayo,Public Works,Bulawayo Office,101,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
123,MLGPW/OPS/312/004,Visitor's chair,Furniture and Fixtures,Chairs,MLGPW,Bulawayo,Administration,Bulawayo Office,103,2001/12/21,556,4,1391,529.36,26.64,Operational,In Use
124,MLGPW/OPS/312/001,Visitor's chair,Furniture and Fixtures,Chairs,MLGPW,Bulawayo,Urban Development,Bulawayo Office,104,2001/12/21,556,4,1391,529.36,26.64,Operational,In Use
125,MLGPW/OPS/312/005,Visitor's chair,Furniture and Fixtures,Chairs,MLGPW,Gweru,Provincial Affairs and Devolution,Gweru Office,A102,2001/12/21,624,4,1391,594.1,29.9,Operational,In Use
126,MLGPW/OPS/312/006,Visitor's chair,Furniture and Fixtures,Chairs,MLGPW,Gweru,Provincial Affairs and Devolution,Gweru Office,A103,2001/12/21,624,4,1391,594.1,29.9,Operational,In Use
127,MLGPW/OPS/300/001,Wooden seating bench,Furniture and Fixtures,Benches,MLGPW,Gweru,Public Works,Gweru Office,A102,2001/12/21,1850,4,1391,1761.36,88.64,Operational,In Use
128,MLGPW/OPS/300/002,Wooden working bench,Furniture and Fixtures,Benches,MLGPW,Gweru,Public Works,Gweru Office,A102,2001/12/21,1850,4,1391,1761.36,88.64,Operational,In Use
129,MLGPW/OPS/312/001,Visitor's chair,Furniture and Fixtures,Chairs,MLGPW,Harare,Public Works,Head Office,106,2001/12/21,624,4,1391,594.1,29.9,Operational,In Use
130,MLGPW/OPS/312/002,Visitor's chair,Furniture and Fixtures,Chairs,MLGPW,Harare,Public Works,Head Office,201,2001/12/21,624,4,1391,594.1,29.9,Operational,In Use
131,MLGPW/FIN/312/002,Visitor's chair,Furniture and Fixtures,Chairs,MLGPW,Bulawayo,Local Government,Bulawayo Office,105,2001/12/21,624,4,1391,594.1,29.9,Operational,In Use
132,MLGPW/ADM/313/004,Highback chair,Furniture and Fixtures,Chairs,MLGPW,Bulawayo,Administration,Bulawayo Office,105,2001/12/21,825.22,4,1391,785.68,39.54,Operational,In Use
133,MLGPW/OPS/851/007,CCTV Monitor,Equipment Security,Guns,MLGPW,Bulawayo,Public Works,Bulawayo Office,102,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
134,MLGPW/OPS/210/17,Dispenser Unit,Equipment - Office,Payment Equipment,MLGPW,Bulawayo,Provincial Affairs and Devolution,Bulawayo Office,105,2019/11/22,34572.68,4,1038,24562.93,10009.75,Operational,In Use
135,MLGPW/FIN/312/001,Visitor's chair,Furniture and Fixtures,Chairs,MLGPW,Harare,Public Works,Head Office,201,2001/12/21,1446.4,4,1391,1377.1,69.3,Operational,In Use
136,MLGPW/MD/312/001,Visitor's chair,Furniture and Fixtures,Chairs,MLGPW,Harare,Public Works,Head Office,101,2001/12/21,1446.4,4,1391,1377.1,69.3,Operational,In Use
137,MLGPW/MD/312/002,Wau Mesh back chair black,Furniture and Fixtures,Chairs,MLGPW,Harare,Public Works,Head Office,101,2001/12/21,4320,4,1391,4113.02,206.98,Operational,In Use
138,MLGPW/OPS/004/001,Monitor Samsung,Equipment - Computers,Computers,MLGPW,Bulawayo,Administration,Bulawayo Office,101,2001/12/21,1000,4,1391,952.09,47.91,Operational,In Use
139,MLGPW/OPS/341/001,Concept Desk with mobile pedestal drawer,Furniture and Fixtures,Desks,MLGPW,Bulawayo,Local Government,Bulawayo Office,101,2001/12/21,6082.61,4,1391,5791.18,291.43,Operational,In Use
140,MLGPW/ADM/530/002,Salton Kettle,Equipment - Office,Kettles,MLGPW,Bulawayo,Administration,Bulawayo Office,101,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
141,MLGPW/OPS/313/003,Highback Chair,Furniture and Fixtures,Chairs,MLGPW,Bulawayo,Local Government,Bulawayo Office,101,2001/12/21,825.22,4,1391,785.68,39.54,Operational,In Use
