Ref,CensusYear,Category,Region,RegionName,Grade,GradeName,Age,Total,Male,Female
35,2015,Orphans,11,//Kharas,211,Grade 11,22,1,0,1
36,2015,Orphans,11,//Kharas,211,Grade 11,20,5,4,1
37,2015,Orphans,11,//Kharas,211,Grade 11,19,15,3,12
38,2015,Orphans,11,//Kharas,211,Grade 11,18,26,10,16
39,2015,Orphans,11,//Kharas,211,Grade 11,17,38,15,23
40,2015,Orphans,11,//Kharas,401,Special Education Class,12,1,0,1
41,2015,Orphans,11,//Kharas,202,Grade  2,12,1,1,0
42,2015,Orphans,11,//Kharas,204,Grade  4,11,76,43,33
43,2015,Orphans,11,//Kharas,204,Grade  4,10,64,27,37
44,2015,Orphans,11,//Kharas,203,Grade  3,9,115,41,74
45,2015,Orphans,11,//Kharas,203,Grade  3,8,21,15,6
46,2015,Orphans,11,//Kharas,203,Grade  3,13,3,2,1
47,2015,Orphans,11,//Kharas,203,Grade  3,12,2,2,0
48,2015,Orphans,11,//Kharas,203,Grade  3,11,16,3,13
49,2015,Orphans,11,//Kharas,203,Grade  3,10,48,24,24
50,2015,Orphans,11,//Kharas,202,Grade  2,9,38,22,16
51,2015,Orphans,11,//Kharas,207,Grade  7,17,4,2,2
52,2015,Orphans,11,//Kharas,202,Grade  2,7,10,4,6
53,2015,Orphans,11,//Kharas,204,Grade  4,14,1,1,0
54,2015,Orphans,11,//Kharas,202,Grade  2,11,4,2,2
55,2015,Orphans,11,//Kharas,202,Grade  2,10,17,12,5
56,2015,Orphans,11,//Kharas,201,Grade  1,9,6,3,3
57,2015,Orphans,11,//Kharas,201,Grade  1,8,20,13,7
58,2015,Orphans,11,//Kharas,201,Grade  1,7,82,40,42
59,2015,Orphans,11,//Kharas,201,Grade  1,6,23,12,11
60,2015,Orphans,11,//Kharas,201,Grade  1,12,1,1,0
61,2015,Orphans,11,//Kharas,100,Pre-Primary,7,1,1,0
62,2015,Orphans,11,//Kharas,100,Pre-Primary,6,30,17,13
63,2015,Orphans,11,//Kharas,202,Grade  2,8,92,53,39
64,2015,Orphans,11,//Kharas,205,Grade  5,9,1,1,0
65,2015,Orphans,11,//Kharas,207,Grade  7,14,111,64,47
66,2015,Orphans,11,//Kharas,207,Grade  7,13,108,44,64
67,2015,Orphans,11,//Kharas,207,Grade  7,12,22,5,17
68,2015,Orphans,11,//Kharas,206,Grade  6,17,2,1,1
69,2015,Orphans,11,//Kharas,206,Grade  6,16,2,2,0
70,2015,Orphans,11,//Kharas,206,Grade  6,15,18,12,6
71,2015,Orphans,11,//Kharas,206,Grade  6,14,53,29,24
72,2015,Orphans,11,//Kharas,206,Grade  6,13,81,31,50
73,2015,Orphans,11,//Kharas,204,Grade  4,12,23,18,5
74,2015,Orphans,11,//Kharas,206,Grade  6,11,10,1,9
75,2015,Orphans,11,//Kharas,204,Grade  4,13,7,6,1
76,2015,Orphans,11,//Kharas,205,Grade  5,16,2,1,1
77,2015,Orphans,11,//Kharas,205,Grade  5,15,3,2,1
78,2015,Orphans,11,//Kharas,205,Grade  5,14,24,12,12
79,2015,Orphans,11,//Kharas,205,Grade  5,13,47,25,22
80,2015,Orphans,11,//Kharas,205,Grade  5,12,116,62,54
81,2015,Orphans,11,//Kharas,205,Grade  5,11,94,41,53
82,2015,Orphans,11,//Kharas,205,Grade  5,10,18,5,13
83,2015,Orphans,11,//Kharas,204,Grade  4,9,11,5,6
84,2015,Orphans,11,//Kharas,204,Grade  4,15,2,1,1
85,2015,Orphans,11,//Kharas,207,Grade  7,16,17,10,7
86,2015,Orphans,11,//Kharas,206,Grade  6,12,100,38,62
87,2014,Orphans,11,//Kharas,100,Pre-Primary,5,8,3,5
88,2015,Orphans,11,//Kharas,209,Grade  9,19,8,6,2
89,2014,Orphans,11,//Kharas,208,Grade  8,16,126,67,59
90,2014,Orphans,11,//Kharas,500,Handicapped,8,1,1,0
91,2014,Orphans,11,//Kharas,209,Grade  9,17,63,23,40
92,2014,Orphans,11,//Kharas,209,Grade  9,16,76,40,36
93,2014,Orphans,11,//Kharas,209,Grade  9,15,88,35,53
94,2014,Orphans,11,//Kharas,209,Grade  9,14,15,8,7
95,2014,Orphans,11,//Kharas,209,Grade  9,13,1,0,1
96,2014,Orphans,11,//Kharas,209,Grade  9,11,1,1,0
97,2014,Orphans,11,//Kharas,209,Grade  9,10,1,0,1
98,2014,Orphans,11,//Kharas,208,Grade  8,20,1,1,0
99,2014,Orphans,11,//Kharas,208,Grade  8,19,1,1,0
100,2014,Orphans,11,//Kharas,209,Grade  9,19,13,8,5
101,2014,Orphans,11,//Kharas,208,Grade  8,17,44,27,17
102,2014,Orphans,11,//Kharas,209,Grade  9,20,2,1,1
103,2014,Orphans,11,//Kharas,208,Grade  8,15,122,54,68
104,2014,Orphans,11,//Kharas,208,Grade  8,14,125,61,64
105,2014,Orphans,11,//Kharas,208,Grade  8,13,25,18,7
106,2014,Orphans,11,//Kharas,208,Grade  8,12,3,1,2
107,2014,Orphans,11,//Kharas,208,Grade  8,11,4,1,3
108,2014,Orphans,11,//Kharas,207,Grade  7,25,7,2,5
109,2014,Orphans,11,//Kharas,207,Grade  7,18,2,0,2
110,2014,Orphans,11,//Kharas,207,Grade  7,17,4,0,4
111,2014,Orphans,11,//Kharas,207,Grade  7,16,19,7,12
112,2014,Orphans,11,//Kharas,207,Grade  7,15,43,20,23
113,2014,Orphans,11,//Kharas,208,Grade  8,18,10,4,6
114,2014,Orphans,11,//Kharas,211,Grade 11,18,27,12,15
115,2014,Orphans,11,//Kharas,401,Special Education Class,15,1,0,1
116,2014,Orphans,11,//Kharas,401,Special Education Class,13,1,0,1
117,2014,Orphans,11,//Kharas,401,Special Education Class,12,2,1,1
118,2014,Orphans,11,//Kharas,212,Grade 12,22,1,0,1
119,2014,Orphans,11,//Kharas,212,Grade 12,21,4,1,3
120,2014,Orphans,11,//Kharas,212,Grade 12,20,12,8,4
121,2014,Orphans,11,//Kharas,212,Grade 12,19,26,13,13
122,2014,Orphans,11,//Kharas,212,Grade 12,18,48,24,24
123,2014,Orphans,11,//Kharas,212,Grade 12,17,9,1,8
124,2014,Orphans,11,//Kharas,211,Grade 11,21,2,0,2
125,2014,Orphans,11,//Kharas,209,Grade  9,18,32,19,13
126,2014,Orphans,11,//Kharas,211,Grade 11,19,5,3,2
127,2014,Orphans,11,//Kharas,207,Grade  7,12,17,9,8
128,2014,Orphans,11,//Kharas,211,Grade 11,17,44,22,22
129,2014,Orphans,11,//Kharas,211,Grade 11,16,13,5,8
130,2014,Orphans,11,//Kharas,210,Grade 10,21,2,1,1
131,2014,Orphans,11,//Kharas,210,Grade 10,20,3,2,1
132,2014,Orphans,11,//Kharas,210,Grade 10,19,18,9,9
133,2014,Orphans,11,//Kharas,210,Grade 10,18,54,24,30
134,2014,Orphans,11,//Kharas,210,Grade 10,17,74,35,39
135,2014,Orphans,11,//Kharas,210,Grade 10,16,80,31,49
136,2014,Orphans,11,//Kharas,210,Grade 10,15,11,3,8
137,2014,Orphans,11,//Kharas,209,Grade  9,21,1,1,0
138,2015,Orphans,11,//Kharas,210,Grade 10,10,2,1,1
139,2014,Orphans,11,//Kharas,202,Grade  2,13,1,0,1
140,2014,Orphans,11,//Kharas,203,Grade  3,8,9,3,6
141,2014,Orphans,11,//Kharas,203,Grade  3,15,1,0,1
142,2014,Orphans,11,//Kharas,203,Grade  3,14,1,1,0
143,2014,Orphans,11,//Kharas,203,Grade  3,13,2,2,0
144,2014,Orphans,11,//Kharas,203,Grade  3,12,7,7,0
145,2014,Orphans,11,//Kharas,203,Grade  3,11,15,10,5
146,2014,Orphans,11,//Kharas,203,Grade  3,10,57,34,23
147,2014,Orphans,11,//Kharas,202,Grade  2,9,61,25,36
148,2014,Orphans,11,//Kharas,202,Grade  2,8,101,47,54
149,2014,Orphans,11,//Kharas,202,Grade  2,7,15,9,6
150,2014,Orphans,11,//Kharas,207,Grade  7,14,95,49,46
151,2014,Orphans,11,//Kharas,202,Grade  2,14,1,1,0
152,2014,Orphans,11,//Kharas,204,Grade  4,11,78,35,43
153,2014,Orphans,11,//Kharas,202,Grade  2,12,1,1,0
154,2014,Orphans,11,//Kharas,202,Grade  2,11,6,4,2
155,2014,Orphans,11,//Kharas,202,Grade  2,10,6,2,4
156,2014,Orphans,11,//Kharas,201,Grade  1,9,3,2,1
157,2014,Orphans,11,//Kharas,201,Grade  1,8,25,16,9
158,2014,Orphans,11,//Kharas,201,Grade  1,7,93,55,38
159,2014,Orphans,11,//Kharas,201,Grade  1,6,19,10,9
160,2014,Orphans,11,//Kharas,201,Grade  1,11,2,0,2
161,2014,Orphans,11,//Kharas,201,Grade  1,10,1,0,1
162,2014,Orphans,11,//Kharas,100,Pre-Primary,6,39,20,19
163,2014,Orphans,11,//Kharas,202,Grade  2,16,1,1,0
164,2014,Orphans,11,//Kharas,205,Grade  5,15,11,6,5
165,2014,Orphans,11,//Kharas,211,Grade 11,22,1,0,1
166,2014,Orphans,11,//Kharas,206,Grade  6,17,2,1,1
167,2014,Orphans,11,//Kharas,206,Grade  6,16,6,5,1
168,2014,Orphans,11,//Kharas,206,Grade  6,15,16,12,4
169,2014,Orphans,11,//Kharas,206,Grade  6,14,78,43,35
170,2014,Orphans,11,//Kharas,206,Grade  6,13,90,49,41
171,2014,Orphans,11,//Kharas,206,Grade  6,12,96,40,56
172,2014,Orphans,11,//Kharas,206,Grade  6,11,16,9,7
173,2014,Orphans,11,//Kharas,206,Grade  6,10,8,3,5
174,2014,Orphans,11,//Kharas,205,Grade  5,9,3,1,2
175,2014,Orphans,11,//Kharas,203,Grade  3,9,69,27,42
176,2014,Orphans,11,//Kharas,205,Grade  5,16,2,0,2
177,2014,Orphans,11,//Kharas,204,Grade  4,10,79,33,46
178,2014,Orphans,11,//Kharas,205,Grade  5,14,22,12,10
179,2014,Orphans,11,//Kharas,205,Grade  5,13,75,43,32
180,2014,Orphans,11,//Kharas,205,Grade  5,12,106,42,64
181,2014,Orphans,11,//Kharas,205,Grade  5,11,114,51,63
182,2014,Orphans,11,//Kharas,205,Grade  5,10,18,5,13
183,2014,Orphans,11,//Kharas,204,Grade  4,9,10,1,9
184,2014,Orphans,11,//Kharas,204,Grade  4,15,1,1,0
185,2014,Orphans,11,//Kharas,204,Grade  4,14,2,2,0
186,2014,Orphans,11,//Kharas,204,Grade  4,13,10,5,5
187,2014,Orphans,11,//Kharas,204,Grade  4,12,32,21,11
188,2014,Orphans,11,//Kharas,207,Grade  7,13,113,53,60
189,2014,Orphans,11,//Kharas,205,Grade  5,17,3,2,1
190,2014,Orphans,11,//Kharas,211,Grade 11,20,3,2,1
191,2014,Orphans,12,Erongo,212,Grade 12,15,2,1,1
192,2015,Orphans,12,Erongo,208,Grade  8,15,110,42,68
193,2015,Orphans,12,Erongo,208,Grade  8,14,137,50,87
194,2015,Orphans,12,Erongo,208,Grade  8,13,22,17,5
195,2015,Orphans,12,Erongo,207,Grade  7,19,2,1,1
196,2015,Orphans,12,Erongo,207,Grade  7,18,1,0,1
197,2015,Orphans,12,Erongo,210,Grade 10,14,1,1,0
198,2015,Orphans,12,Erongo,207,Grade  7,16,18,12,6
199,2015,Orphans,12,Erongo,208,Grade  8,18,9,5,4
200,2014,Orphans,12,Erongo,212,Grade 12,17,19,4,15
201,2014,Orphans,12,Erongo,212,Grade 12,18,58,22,36
202,2014,Orphans,12,Erongo,212,Grade 12,19,29,10,19
203,2014,Orphans,12,Erongo,212,Grade 12,20,22,13,9
204,2014,Orphans,12,Erongo,212,Grade 12,21,4,4,0
205,2015,Orphans,12,Erongo,207,Grade  7,17,5,5,0
206,2015,Orphans,12,Erongo,208,Grade  8,17,53,27,26
207,2014,Orphans,12,Erongo,401,Special Education Class,11,1,1,0
208,2015,Orphans,12,Erongo,208,Grade  8,19,3,1,2
209,2015,Orphans,12,Erongo,208,Grade  8,21,1,0,1
210,2015,Orphans,12,Erongo,209,Grade  9,12,1,0,1
211,2015,Orphans,12,Erongo,209,Grade  9,13,5,2,3
212,2015,Orphans,12,Erongo,209,Grade  9,14,27,13,14
213,2015,Orphans,12,Erongo,209,Grade  9,15,135,48,87
214,2015,Orphans,12,Erongo,209,Grade  9,16,102,44,58
215,2015,Orphans,12,Erongo,209,Grade  9,17,71,43,28
216,2015,Orphans,12,Erongo,209,Grade  9,18,37,19,18
217,2015,Orphans,12,Erongo,209,Grade  9,19,7,4,3
218,2015,Orphans,12,Erongo,209,Grade  9,20,3,3,0
219,2014,Orphans,12,Erongo,209,Grade  9,14,32,11,21
220,2015,Orphans,12,Erongo,208,Grade  8,16,93,56,37
221,2014,Orphans,12,Erongo,211,Grade 11,15,1,0,1
222,2014,Orphans,12,Erongo,209,Grade  9,16,135,57,78
223,2014,Orphans,12,Erongo,209,Grade  9,17,98,47,51
224,2014,Orphans,12,Erongo,209,Grade  9,18,44,22,22
225,2014,Orphans,12,Erongo,209,Grade  9,19,23,11,12
226,2014,Orphans,12,Erongo,209,Grade  9,20,8,4,4
227,2014,Orphans,12,Erongo,209,Grade  9,21,2,1,1
228,2014,Orphans,12,Erongo,210,Grade 10,14,1,0,1
229,2014,Orphans,12,Erongo,210,Grade 10,15,19,4,15
230,2014,Orphans,12,Erongo,210,Grade 10,16,110,42,68
231,2014,Orphans,12,Erongo,210,Grade 10,17,82,33,49
232,2014,Orphans,12,Erongo,210,Grade 10,18,59,21,38
233,2014,Orphans,12,Erongo,210,Grade 10,19,25,7,18
234,2014,Orphans,12,Erongo,212,Grade 12,22,2,2,0
235,2014,Orphans,12,Erongo,210,Grade 10,21,2,1,1
236,2014,Orphans,12,Erongo,401,Special Education Class,10,4,1,3
237,2014,Orphans,12,Erongo,211,Grade 11,16,16,6,10
238,2014,Orphans,12,Erongo,211,Grade 11,17,63,23,40
239,2014,Orphans,12,Erongo,211,Grade 11,18,50,24,26
240,2014,Orphans,12,Erongo,211,Grade 11,19,26,17,9
241,2014,Orphans,12,Erongo,211,Grade 11,20,14,10,4
242,2014,Orphans,12,Erongo,211,Grade 11,21,3,2,1
243,2014,Orphans,12,Erongo,211,Grade 11,22,2,1,1
244,2014,Orphans,12,Erongo,212,Grade 12,12,4,3,1
245,2014,Orphans,12,Erongo,401,Special Education Class,15,2,1,1
246,2014,Orphans,12,Erongo,401,Special Education Class,14,2,1,1
247,2014,Orphans,12,Erongo,401,Special Education Class,13,1,1,0
248,2014,Orphans,12,Erongo,401,Special Education Class,12,2,2,0
249,2015,Orphans,12,Erongo,210,Grade 10,15,23,9,14
250,2014,Orphans,12,Erongo,210,Grade 10,20,13,4,9
251,2015,Orphans,12,Erongo,419,Special Grade  9,20,2,0,2
252,2015,Orphans,12,Erongo,418,Special Grade  8,12,1,0,1
253,2015,Orphans,12,Erongo,418,Special Grade  8,13,2,1,1
254,2015,Orphans,12,Erongo,418,Special Grade  8,14,12,2,10
255,2015,Orphans,12,Erongo,418,Special Grade  8,15,7,5,2
256,2015,Orphans,12,Erongo,418,Special Grade  8,16,11,7,4
257,2015,Orphans,12,Erongo,418,Special Grade  8,17,10,7,3
258,2015,Orphans,12,Erongo,418,Special Grade  8,18,4,4,0
259,2015,Orphans,12,Erongo,418,Special Grade  8,19,1,0,1
260,2015,Orphans,12,Erongo,419,Special Grade  9,14,2,0,2
261,2015,Orphans,12,Erongo,419,Special Grade  9,15,9,2,7
262,2015,Orphans,12,Erongo,419,Special Grade  9,16,10,2,8
263,2015,Orphans,12,Erongo,419,Special Grade  9,17,8,5,3
264,2015,Orphans,12,Erongo,209,Grade  9,21,1,1,0
265,2015,Orphans,12,Erongo,419,Special Grade  9,19,2,1,1
266,2015,Orphans,12,Erongo,401,Special Education Class,9,1,1,0
267,2015,Orphans,12,Erongo,420,Special Grade 10,15,5,1,4
268,2015,Orphans,12,Erongo,420,Special Grade 10,16,3,1,2
269,2015,Orphans,12,Erongo,420,Special Grade 10,17,6,1,5
270,2014,Orphans,12,Erongo,212,Grade 12,14,2,2,0
271,2015,Orphans,12,Erongo,420,Special Grade 10,19,1,0,1
272,2015,Orphans,12,Erongo,421,Special Grade 11,16,3,0,3
273,2015,Orphans,12,Erongo,421,Special Grade 11,17,4,1,3
274,2015,Orphans,12,Erongo,421,Special Grade 11,18,2,0,2
275,2015,Orphans,12,Erongo,421,Special Grade 11,19,2,1,1
276,2015,Orphans,12,Erongo,421,Special Grade 11,20,1,0,1
277,2015,Orphans,12,Erongo,422,Special Grade 12,18,2,1,1
278,2015,Orphans,12,Erongo,422,Special Grade 12,19,3,2,1
279,2015,Orphans,12,Erongo,422,Special Grade 12,20,3,1,2
280,2015,Orphans,12,Erongo,419,Special Grade  9,18,14,6,8
281,2015,Orphans,12,Erongo,212,Grade 12,17,15,6,9
282,2015,Orphans,12,Erongo,210,Grade 10,16,109,32,77
283,2015,Orphans,12,Erongo,210,Grade 10,17,109,44,65
284,2015,Orphans,12,Erongo,210,Grade 10,18,47,26,21
285,2015,Orphans,12,Erongo,210,Grade 10,19,21,11,10
286,2015,Orphans,12,Erongo,210,Grade 10,20,11,3,8
287,2015,Orphans,12,Erongo,210,Grade 10,21,5,3,2
288,2015,Orphans,12,Erongo,211,Grade 11,15,2,0,2
289,2015,Orphans,12,Erongo,211,Grade 11,16,17,3,14
290,2015,Orphans,12,Erongo,211,Grade 11,17,73,27,46
291,2015,Orphans,12,Erongo,211,Grade 11,18,37,14,23
292,2015,Orphans,12,Erongo,211,Grade 11,19,22,10,12
293,2015,Orphans,12,Erongo,211,Grade 11,20,4,3,1
294,2015,Orphans,12,Erongo,211,Grade 11,21,4,1,3
295,2015,Orphans,12,Erongo,416,Special Grade  6,13,2,1,1
296,2015,Orphans,12,Erongo,212,Grade 12,24,1,1,0
297,2014,Orphans,12,Erongo,209,Grade  9,13,1,0,1
298,2015,Orphans,12,Erongo,401,Special Education Class,15,2,1,1
299,2015,Orphans,12,Erongo,401,Special Education Class,14,1,1,0
300,2015,Orphans,12,Erongo,401,Special Education Class,13,3,1,2
301,2015,Orphans,12,Erongo,401,Special Education Class,12,4,4,0
302,2015,Orphans,12,Erongo,211,Grade 11,22,3,2,1
303,2015,Orphans,12,Erongo,401,Special Education Class,10,3,1,2
304,2015,Orphans,12,Erongo,212,Grade 12,16,1,0,1
305,2015,Orphans,12,Erongo,212,Grade 12,23,1,1,0
306,2015,Orphans,12,Erongo,212,Grade 12,21,5,4,1
307,2015,Orphans,12,Erongo,212,Grade 12,20,15,11,4
308,2015,Orphans,12,Erongo,212,Grade 12,19,31,13,18
309,2015,Orphans,12,Erongo,212,Grade 12,18,67,22,45
310,2015,Orphans,12,Erongo,416,Special Grade  6,12,2,2,0
311,2015,Orphans,12,Erongo,401,Special Education Class,11,3,0,3
312,2015,Orphans,12,Erongo,206,Grade  6,13,112,55,57
313,2015,Orphans,12,Erongo,204,Grade  4,15,1,0,1
314,2015,Orphans,12,Erongo,204,Grade  4,9,23,7,16
315,2015,Orphans,12,Erongo,205,Grade  5,10,17,6,11
316,2015,Orphans,12,Erongo,205,Grade  5,11,160,76,84
317,2015,Orphans,12,Erongo,205,Grade  5,12,103,61,42
318,2015,Orphans,12,Erongo,205,Grade  5,13,72,44,28
319,2015,Orphans,12,Erongo,205,Grade  5,14,17,14,3
320,2015,Orphans,12,Erongo,205,Grade  5,15,10,7,3
321,2015,Orphans,12,Erongo,205,Grade  5,16,4,2,2
322,2015,Orphans,12,Erongo,205,Grade  5,17,1,1,0
323,2015,Orphans,12,Erongo,205,Grade  5,18,1,1,0
324,2015,Orphans,12,Erongo,206,Grade  6,10,1,0,1
325,2014,Orphans,12,Erongo,201,Grade  1,10,2,1,1
326,2015,Orphans,12,Erongo,206,Grade  6,12,162,69,93
327,2015,Orphans,12,Erongo,204,Grade  4,12,19,10,9
328,2015,Orphans,12,Erongo,206,Grade  6,14,61,36,25
329,2015,Orphans,12,Erongo,206,Grade  6,15,16,13,3
330,2015,Orphans,12,Erongo,206,Grade  6,16,5,2,3
331,2015,Orphans,12,Erongo,206,Grade  6,17,4,4,0
332,2015,Orphans,12,Erongo,206,Grade  6,18,1,1,0
333,2015,Orphans,12,Erongo,206,Grade  6,20,1,0,1
334,2015,Orphans,12,Erongo,206,Grade  6,5,2,0,2
335,2015,Orphans,12,Erongo,207,Grade  7,12,24,9,15
336,2015,Orphans,12,Erongo,207,Grade  7,13,155,66,89
337,2015,Orphans,12,Erongo,207,Grade  7,14,112,63,49
338,2015,Orphans,12,Erongo,207,Grade  7,15,66,38,28
339,2014,Orphans,12,Erongo,100,Pre-Primary,6,22,12,10
340,2014,Orphans,12,Erongo,209,Grade  9,15,109,35,74
341,2015,Orphans,12,Erongo,206,Grade  6,11,17,8,9
342,2015,Orphans,12,Erongo,202,Grade  2,13,1,1,0
343,2014,Orphans,12,Erongo,100,Pre-Primary,8,1,1,0
344,2015,Orphans,12,Erongo,100,Pre-Primary,5,5,2,3
345,2015,Orphans,12,Erongo,100,Pre-Primary,6,23,11,12
346,2015,Orphans,12,Erongo,100,Pre-Primary,7,1,0,1
347,2015,Orphans,12,Erongo,201,Grade  1,10,2,0,2
348,2015,Orphans,12,Erongo,201,Grade  1,13,1,1,0
349,2015,Orphans,12,Erongo,201,Grade  1,17,1,0,1
350,2015,Orphans,12,Erongo,201,Grade  1,18,1,1,0
351,2015,Orphans,12,Erongo,201,Grade  1,6,21,15,6
352,2015,Orphans,12,Erongo,201,Grade  1,7,105,57,48
353,2015,Orphans,12,Erongo,201,Grade  1,8,38,24,14
354,2015,Orphans,12,Erongo,201,Grade  1,9,4,2,2
355,2015,Orphans,12,Erongo,202,Grade  2,10,7,3,4
356,2015,Orphans,12,Erongo,204,Grade  4,14,5,3,2
357,2015,Orphans,12,Erongo,203,Grade  3,12,4,0,4
358,2014,Orphans,12,Erongo,201,Grade  1,11,1,1,0
359,2015,Orphans,12,Erongo,204,Grade  4,11,100,54,46
360,2015,Orphans,12,Erongo,204,Grade  4,10,125,56,69
361,2015,Orphans,12,Erongo,203,Grade  3,9,128,54,74
362,2015,Orphans,12,Erongo,203,Grade  3,8,25,13,12
363,2015,Orphans,12,Erongo,202,Grade  2,11,4,4,0
364,2015,Orphans,12,Erongo,203,Grade  3,13,3,2,1
365,2015,Orphans,12,Erongo,202,Grade  2,12,2,1,1
366,2015,Orphans,12,Erongo,203,Grade  3,11,15,8,7
367,2015,Orphans,12,Erongo,203,Grade  3,10,88,46,42
368,2015,Orphans,12,Erongo,202,Grade  2,9,50,27,23
369,2015,Orphans,12,Erongo,202,Grade  2,8,129,60,69
370,2015,Orphans,12,Erongo,202,Grade  2,7,22,14,8
371,2015,Orphans,12,Erongo,204,Grade  4,13,7,5,2
372,2015,Orphans,12,Erongo,203,Grade  3,17,1,0,1
373,2014,Orphans,12,Erongo,207,Grade  7,13,155,54,101
374,2014,Orphans,12,Erongo,205,Grade  5,11,134,57,77
375,2014,Orphans,12,Erongo,205,Grade  5,12,101,52,49
376,2014,Orphans,12,Erongo,205,Grade  5,13,78,50,28
377,2014,Orphans,12,Erongo,205,Grade  5,14,28,15,13
378,2014,Orphans,12,Erongo,205,Grade  5,15,12,10,2
379,2014,Orphans,12,Erongo,205,Grade  5,9,1,0,1
380,2014,Orphans,12,Erongo,206,Grade  6,11,28,12,16
381,2014,Orphans,12,Erongo,206,Grade  6,12,137,59,78
382,2014,Orphans,12,Erongo,206,Grade  6,13,111,64,47
383,2014,Orphans,12,Erongo,206,Grade  6,14,64,36,28
384,2014,Orphans,12,Erongo,206,Grade  6,15,22,14,8
385,2014,Orphans,12,Erongo,206,Grade  6,16,7,7,0
386,2014,Orphans,12,Erongo,100,Pre-Primary,5,11,3,8
387,2014,Orphans,12,Erongo,207,Grade  7,12,20,11,9
388,2014,Orphans,12,Erongo,204,Grade  4,17,1,1,0
389,2014,Orphans,12,Erongo,207,Grade  7,14,100,40,60
390,2014,Orphans,12,Erongo,207,Grade  7,15,64,41,23
391,2014,Orphans,12,Erongo,207,Grade  7,16,18,10,8
392,2014,Orphans,12,Erongo,207,Grade  7,17,6,3,3
393,2014,Orphans,12,Erongo,207,Grade  7,18,3,2,1
394,2014,Orphans,12,Erongo,208,Grade  8,13,31,10,21
395,2014,Orphans,12,Erongo,208,Grade  8,14,187,60,127
396,2014,Orphans,12,Erongo,208,Grade  8,15,149,72,77
397,2014,Orphans,12,Erongo,208,Grade  8,16,104,57,47
398,2014,Orphans,12,Erongo,208,Grade  8,17,56,27,29
399,2014,Orphans,12,Erongo,208,Grade  8,18,15,7,8
400,2014,Orphans,12,Erongo,208,Grade  8,19,5,3,2
401,2014,Orphans,12,Erongo,208,Grade  8,20,1,1,0
402,2014,Orphans,12,Erongo,206,Grade  6,17,1,1,0
403,2014,Orphans,12,Erongo,203,Grade  3,13,3,1,2
404,2014,Orphans,12,Erongo,201,Grade  1,12,1,1,0
405,2014,Orphans,12,Erongo,201,Grade  1,6,34,13,21
406,2014,Orphans,12,Erongo,201,Grade  1,7,100,54,46
407,2014,Orphans,12,Erongo,201,Grade  1,8,24,13,11
408,2014,Orphans,12,Erongo,201,Grade  1,9,5,3,2
409,2014,Orphans,12,Erongo,202,Grade  2,10,6,3,3
410,2014,Orphans,12,Erongo,202,Grade  2,11,2,1,1
411,2014,Orphans,12,Erongo,202,Grade  2,14,1,1,0
412,2014,Orphans,12,Erongo,212,Grade 12,13,6,4,2
