Contract,Client,DateOpen,Year,Month,Principal,IntratePr,IntPr,AdminFee,Stamps,Instalment,Total,DateFI,DateLI,Purpose,Period,CollectionMethod,LoanSizeCode,RepaymentCode,Paid,Balance,Status,Decision,Reason
6137,257,2023/03/24,2023,3,700,0.28,196,0,2,898.28,898.28,2023/04/23,2023/04/23,Consumption,1,Cash Collection,A,A,898.28,0,Paid,Approved,Qualified
6154,259,2023/03/31,2023,3,3000,0.28,840,0,12,3852.28,3852.28,2023/04/30,2023/04/30,Consumption,1,Cash Collection,B,A,3852.28,0,Paid,Approved,Qualified
6158,282,2023/03/31,2023,3,4000,0.28,1120,0,18,5138.28,5138.28,2023/04/30,2023/04/30,Consumption,1,Cash Collection,B,A,5138.28,0,Paid,Approved,Qualified
6160,289,2023/03/31,2023,3,1100,0.28,308,0,2,1410.28,1410.28,2023/04/30,2023/04/30,Consumption,1,Cash Collection,B,A,1410.28,0,Paid,Approved,Qualified
6153,304,2023/03/31,2023,3,1800,0.28,504,0,6,2310.28,2310.28,2023/04/30,2023/04/30,Consumption,1,Cash Collection,B,A,2310.28,0,Paid,Approved,Qualified
6112,316,2023/03/03,2023,3,1500,0.28,420,0,6,1926.28,1926.28,2023/04/02,2023/04/02,Consumption,1,Cash Collection,B,A,1926.28,0,Paid,Approved,Qualified
6146,318,2023/03/31,2023,3,2500,0.28,700,0,12,3212.28,3212.28,2023/04/30,2023/04/30,Consumption,1,Cash Collection,B,A,3212.28,0,Paid,Approved,Qualified
6163,327,2023/03/31,2023,3,2500,0.28,700,0,12,3212.28,3212.28,2023/04/30,2023/04/30,Consumption,1,Cash Collection,B,A,3212.28,0,Paid,Approved,Qualified
6159,335,2023/03/31,2023,3,1900,0.28,532,0,6,2438.28,2438.28,2023/04/30,2023/04/30,Consumption,1,Cash Collection,B,A,2438.28,0,Paid,Approved,Qualified
6147,338,2023/03/31,2023,3,1600,0.28,448,0,6,2054.28,2054.28,2023/04/30,2023/04/30,Consumption,1,Cash Collection,B,A,2054.28,0,Paid,Approved,Qualified
9300,452,2023/04/28,2023,4,2500,0.28,700,0,12,3212,3212,2023/05/31,2023/05/31,Consumption,1,Cash Collection,B,A,3212,37,Paid,Approved,Qualified
9282,453,2023/04/27,2023,4,2500,0.28,700,0,12,3212,3212,2023/05/31,2023/05/31,Consumption,1,Cash Collection,B,A,3212,21,Paid,Approved,Qualified
9293,462,2023/04/28,2023,4,4000,0.28,1120,0,0,5120,5120,2023/05/31,2023/05/31,Consumption,1,Cash Collection,B,A,5120,34,Paid,Approved,Qualified
9266,476,2023/04/20,2023,4,500,0.28,140,0,2,642,642,2023/05/20,2023/05/20,Consumption,1,Cash Collection,A,A,642,78,Paid,Approved,Qualified
9267,477,2023/04/20,2023,4,500,0.28,140,0,2,642,642,2023/05/20,2023/05/20,Consumption,1,Cash Collection,A,A,642,46,Paid,Approved,Qualified
9299,478,2023/04/28,2023,4,2000,0.28,560,0,12,2572,2572,2023/05/20,2023/05/20,Consumption,1,Cash Collection,B,A,2572,38,Paid,Approved,Qualified
9303,479,2023/04/28,2023,4,1300,0.28,364,0,6,1670,1670,2023/05/31,2023/05/31,Consumption,1,Cash Collection,B,A,1670,22,Paid,Approved,Qualified
9264,488,2023/04/20,2023,4,3000,0.28,840,0,18,3858,3858,2023/05/20,2023/05/20,Consumption,1,Cash Collection,B,A,3858,69,Paid,Approved,Qualified
9295,489,2023/04/28,2023,4,500,0.28,140,0,2,642,642,2023/05/20,2023/05/20,Consumption,1,Cash Collection,A,A,642,42,Paid,Approved,Qualified
9286,490,2023/04/28,2023,4,5000,0.28,1400,0,0,6400,6400,2023/05/31,2023/05/31,Consumption,1,Cash Collection,B,A,6400,7,Paid,Approved,Qualified
9271,493,2023/04/21,2023,4,500,0.28,140,0,2,642,642,2023/05/21,2023/05/21,Consumption,1,Cash Collection,A,A,642,17,Paid,Approved,Qualified
9291,499,2023/04/28,2023,4,3500,0.28,980,0,18,4498,4498,2023/05/31,2023/05/31,Consumption,1,Cash Collection,B,A,4498,2,Paid,Approved,Qualified
9242,507,2023/04/03,2023,4,500,0.28,140,0,2,642,642,2023/04/30,2023/04/30,Consumption,1,Cash Collection,A,A,642,54,Paid,Approved,Qualified
9302,510,2023/04/28,2023,4,500,0.28,140,0,2,642,642,2023/05/31,2023/05/31,Consumption,1,Cash Collection,A,A,642,35,Paid,Approved,Qualified
9285,513,2023/04/28,2023,4,1100,0.28,308,0,6,1414,1414,2023/05/31,2023/05/31,Consumption,1,Cash Collection,B,A,1414,8,Paid,Approved,Qualified
9301,514,2023/04/28,2023,4,1000,0.28,280,0,6,1286,1286,2023/05/31,2023/05/31,Consumption,1,Cash Collection,A,A,1286,36,Paid,Approved,Qualified
9263,516,2023/04/20,2023,4,3000,0.28,840,0,18,3858,3858,2023/05/20,2023/05/20,Consumption,1,Cash Collection,B,A,3858,70,Paid,Approved,Qualified
9343,521,2023/05/30,2023,5,5000,0.28,1400,0,0,6400,6400,2023/06/20,2023/06/20,Consumption,1,Cash Collection,B,A,6400,164,Paid,Approved,Qualified
9340,522,2023/05/29,2023,5,700,0.28,196,0,2,898,898,2023/06/20,2023/06/20,Consumption,1,Cash Collection,A,A,898,136,Paid,Approved,Qualified
9324,524,2023/05/19,2023,5,3500,0.28,980,0,18,4498,4498,2023/06/20,2023/05/20,Consumption,1,Cash Collection,B,A,4498,149,Paid,Approved,Qualified
9334,527,2023/05/24,2023,5,300,0.28,84,0,2,386,386,2023/06/20,2023/06/20,Consumption,1,Cash Collection,A,A,386,141,Paid,Approved,Qualified
9315,528,2023/05/05,2023,5,4500,0.28,1260,0,0,5760,5760,2023/05/31,2023/05/31,Consumption,1,Cash Collection,B,A,5760,23,Paid,Approved,Qualified
9325,532,2023/05/19,2023,5,1500,0.28,420,0,6,1926,1926,2023/05/31,2023/05/31,Consumption,1,Cash Collection,B,A,1926,148,Paid,Approved,Qualified
9346,533,2023/05/31,2023,5,600,0.28,168,0,2,770,770,2023/06/30,2023/06/30,Consumption,1,Cash Collection,A,A,770,175,Paid,Approved,Qualified
9384,542,2023/06/22,2023,6,5000,0.28,1400,0,0,6400,6400,2023/07/20,2023/07/20,Consumption,1,Cash Collection,B,A,6400,96,Paid,Approved,Qualified
9394,543,2023/06/29,2023,6,2000,0.28,560,0,12,2572,2572,2023/07/31,2023/07/31,Consumption,1,Cash Collection,B,A,2572,130,Paid,Approved,Qualified
9400,547,2023/06/30,2023,6,2000,0.28,560,0,12,2572,2572,2023/07/31,2023/07/31,Consumption,1,Cash Collection,B,A,2572,125,Paid,Approved,Qualified
9381,549,2023/06/20,2023,6,2500,0.28,700,0,12,3212,3212,2023/07/31,2023/07/31,Consumption,1,Cash Collection,B,A,3212,99,Paid,Approved,Qualified
9403,551,2023/06/30,2023,6,2000,0.28,560,0,12,2572,2572,2023/07/31,2023/07/31,Consumption,1,Cash Collection,B,A,2572,111,Paid,Approved,Qualified
9387,552,2023/06/22,2023,6,200,0.28,56,0,2,258,258,2023/07/20,2023/07/20,Consumption,1,Cash Collection,A,A,258,93,Paid,Approved,Qualified
9360,560,2023/06/01,2023,6,1000,0.28,280,0,6,1286,1286,2023/06/30,2023/06/30,Consumption,1,Cash Collection,A,A,1286,161,Paid,Approved,Qualified
9397,561,2023/06/30,2023,6,2000,0.28,560,0,12,2572,2572,2023/07/31,2023/07/31,Consumption,1,Cash Collection,B,A,2572,128,Paid,Approved,Qualified
9415,562,2023/06/30,2023,6,2000,0.28,560,0,12,2572,2572,2023/07/31,2023/07/31,Consumption,1,Cash Collection,B,A,2572,153,Paid,Approved,Qualified
6212,564,2023/07/26,2023,7,2600,0.28,728,0,12,3340.28,3340.28,2023/08/25,2023/08/25,Consumption,1,Cash Collection,B,A,3340.28,0,Paid,Approved,Qualified
6222,567,2023/07/27,2023,7,4100,0.28,1148,0,0,5248.28,5248.28,2023/08/26,2023/08/26,Consumption,1,Cash Collection,B,A,5248.28,0,Paid,Approved,Qualified
6200,571,2023/07/19,2023,7,600,0.28,168,0,2,770.28,770.28,2023/08/18,2023/08/18,Consumption,1,Cash Collection,A,A,770.28,0,Paid,Approved,Qualified
6201,573,2023/07/19,2023,7,600,0.28,168,0,2,770.28,770.28,2023/08/18,2023/08/18,Consumption,1,Cash Collection,A,A,770.28,0,Paid,Approved,Qualified
6232,574,2023/07/27,2023,7,1400,0.28,392,0,6,1798.28,1798.28,2023/08/26,2023/08/26,Consumption,1,Cash Collection,B,A,1798.28,0,Paid,Approved,Qualified
6198,575,2023/07/19,2023,7,3100,0.28,868,0,18,3986.28,3986.28,2023/08/18,2023/08/18,Consumption,1,Cash Collection,B,A,3986.28,0,Paid,Approved,Qualified
6224,583,2023/07/27,2023,7,600,0.28,168,0,2,770.28,770.28,2023/08/26,2023/08/26,Consumption,1,Cash Collection,A,A,770.28,0,Paid,Approved,Qualified
6237,586,2023/07/31,2023,7,1600,0.28,448,0,6,2054.28,2054.28,2023/08/30,2023/08/30,Consumption,1,Cash Collection,B,A,2054.28,0,Paid,Approved,Qualified
6215,588,2023/07/27,2023,7,5100,0.28,1428,0,0,6528.28,6528.28,2023/08/26,2023/08/26,Consumption,1,Cash Collection,C,B,6528.28,0,Paid,Approved,Qualified
6205,590,2023/07/20,2023,7,600,0.28,168,0,2,770.28,770.28,2023/08/19,2023/08/19,Consumption,1,Cash Collection,A,A,770.28,0,Paid,Approved,Qualified
6220,594,2023/07/27,2023,7,3600,0.28,1008,0,18,4626.28,4626.28,2023/08/26,2023/08/26,Consumption,1,Cash Collection,B,A,4626.28,0,Paid,Approved,Qualified
6238,602,2023/07/31,2023,7,2100,0.28,588,0,12,2700.28,2700.28,2023/08/30,2023/08/30,Consumption,1,Cash Collection,B,A,2700.28,0,Paid,Approved,Qualified
6236,609,2023/07/31,2023,7,2100,0.28,588,0,12,2700.28,2700.28,2023/08/30,2023/08/30,Consumption,1,Cash Collection,B,A,2700.28,0,Paid,Approved,Qualified
6178,610,2023/07/02,2023,7,600,0.28,168,0,2,770.28,770.28,2023/08/01,2023/08/01,Consumption,1,Cash Collection,A,A,770.28,0,Paid,Approved,Qualified
6231,612,2023/07/27,2023,7,600,0.28,168,0,2,770.28,770.28,2023/08/26,2023/08/26,Consumption,1,Cash Collection,A,A,770.28,0,Paid,Approved,Qualified
6234,614,2023/07/31,2023,7,2100,0.28,588,0,12,2700.28,2700.28,2023/08/30,2023/08/30,Consumption,1,Cash Collection,B,A,2700.28,0,Paid,Approved,Qualified
6214,615,2023/07/27,2023,7,1200,0.28,336,0,6,1542.28,1542.28,2023/08/26,2023/08/26,Consumption,1,Cash Collection,B,A,1542.28,0,Paid,Approved,Qualified
6230,619,2023/07/27,2023,7,1100,0.28,308,0,6,1414.28,1414.28,2023/08/26,2023/08/26,Consumption,1,Cash Collection,B,A,1414.28,0,Paid,Approved,Qualified
6197,622,2023/07/19,2023,7,3100,0.28,868,0,18,3986.28,3986.28,2023/08/18,2023/08/18,Consumption,1,Cash Collection,B,A,3986.28,0,Paid,Approved,Qualified
6227,623,2023/07/27,2023,7,2600,0.28,728,0,12,3340.28,3340.28,2023/08/26,2023/08/26,Consumption,1,Cash Collection,B,A,3340.28,0,Paid,Approved,Qualified
6263,625,2023/08/27,2023,8,800,0.28,224,0,2,1026.28,1026.28,2023/09/26,2023/09/26,Business,1,Cash Collection,A,A,1026.28,0,Paid,Approved,Qualified
6250,627,2023/08/17,2023,8,3600,0.28,1008,0,18,4626.28,4626.28,2023/09/16,2023/09/16,Consumption,1,Cash Collection,B,A,4626.28,0,Paid,Approved,Qualified
6258,628,2023/08/22,2023,8,400,0.28,112,0,2,514.28,514.28,2023/09/21,2023/09/21,Business,1,Cash Collection,A,A,514.28,0,Paid,Approved,Qualified
6290,629,2023/08/31,2023,8,900,0.28,252,0,4,1156.28,1156.28,2023/09/30,2023/09/30,Consumption,1,Cash Collection,A,A,1156.28,0,Paid,Approved,Qualified
6251,630,2023/08/17,2023,8,1600,0.28,448,0,6,2054.28,2054.28,2023/09/16,2023/09/16,Consumption,1,Cash Collection,B,A,2054.28,0,Paid,Approved,Qualified
6268,660,2023/08/29,2023,8,700,0.28,196,0,2,898.28,898.28,2023/09/28,2023/09/28,Business,1,Cash Collection,A,A,898.28,0,Paid,Approved,Qualified
6282,663,2023/08/30,2023,8,1100,0.28,308,0,6,1414.28,1414.28,2023/09/29,2023/09/29,Consumption,1,Cash Collection,B,A,1414.28,0,Paid,Approved,Qualified
6301,664,2023/09/18,2023,9,2600,0.28,728,0,12,3340.28,3340.28,2023/10/18,2023/10/18,Consumption,1,Cash Collection,B,A,3340.28,0,Paid,Approved,Qualified
6307,670,2023/09/20,2023,9,300,0.28,84,0,2,386.28,386.28,2023/10/20,2023/10/20,Consumption,1,Cash Collection,A,A,386.28,0,Paid,Approved,Qualified
6333,671,2023/09/27,2023,9,2100,0.28,588,0,12,2700.28,2700.28,2023/10/27,2023/10/27,Clothing,1,Cash Collection,B,A,2700.28,0,Paid,Approved,Qualified
6392,672,2023/10/29,2023,10,5800,0.28,1624,0,0,7424.28,7424.28,2023/11/28,2023/11/28,Consumption,1,Cash Collection,C,B,7424.28,0,Paid,Approved,Qualified
6370,673,2023/10/21,2023,10,3800,0.28,1064,0,2,4866.28,4866.28,2023/11/20,2023/11/20,Consumption,1,Cash Collection,B,A,4866.28,0,Paid,Approved,Qualified
6371,674,2023/10/21,2023,10,6300,0.28,1764,0,2,8066.28,8066.28,2023/11/20,2023/11/20,Consumption,1,Cash Collection,C,B,8066.28,0,Paid,Approved,Qualified
6400,680,2023/10/29,2023,10,1700,0.28,476,0,6,2182.28,2182.28,2023/11/28,2023/11/28,Consumption,1,Cash Collection,B,A,2182.28,0,Paid,Approved,Qualified
6368,684,2023/10/21,2023,10,3300,0.28,924,0,18,4242.28,4242.28,2023/11/20,2023/11/20,Consumption,1,Cash Collection,B,A,4242.28,0,Paid,Approved,Qualified
6394,685,2023/10/29,2023,10,1600,0.28,448,0,2,2050.28,2050.28,2023/11/28,2023/11/28,Consumption,1,Cash Collection,B,A,2050.28,0,Paid,Approved,Qualified
6375,686,2023/10/22,2023,10,5800,0.28,1624,0,2,7426.28,7426.28,2023/11/21,2023/11/21,Consumption,1,Cash Collection,C,B,7426.28,0,Paid,Approved,Qualified
6390,703,2023/10/29,2023,10,1400,0.28,392,0,18,1810.28,1810.28,2023/11/28,2023/11/28,Consumption,1,Cash Collection,B,A,1810.28,0,Paid,Approved,Qualified
6348,705,2023/10/04,2023,10,800,0.28,224,0,2,1026.28,1026.28,2023/11/03,2023/11/03,Consumption,1,Cash Collection,A,A,1026.28,0,Paid,Approved,Qualified
6399,708,2023/10/29,2023,10,3800,0.28,1064,0,2,4866.28,4866.28,2023/11/28,2023/11/28,Consumption,1,Cash Collection,B,A,4866.28,0,Paid,Approved,Qualified
6384,709,2023/10/29,2023,10,900,0.28,252,0,6,1158.28,1158.28,2023/11/28,2023/11/28,Consumption,1,Cash Collection,A,A,1158.28,0,Paid,Approved,Qualified
6398,710,2023/10/29,2023,10,1100,0.28,308,0,6,1414.28,1414.28,2023/11/28,2023/11/28,Consumption,1,Cash Collection,B,A,1414.28,0,Paid,Approved,Qualified
6367,712,2023/10/21,2023,10,1300,0.28,364,0,18,1682.28,1682.28,2023/11/20,2023/11/20,Consumption,1,Cash Collection,B,A,1682.28,0,Paid,Approved,Qualified
6397,713,2023/10/29,2023,10,6300,0.28,1764,0,12,8076.28,8076.28,2023/11/28,2023/11/28,Consumption,1,Cash Collection,C,B,8076.28,0,Paid,Approved,Qualified
6433,718,2023/11/30,2023,11,5300,0.28,1484,0,0,6784.28,6784.28,2023/12/30,2023/12/30,Business,1,Cash Collection,C,B,6784.28,0,Paid,Approved,Qualified
6418,719,2023/11/19,2023,11,900,0.28,252,0,18,1170.28,1170.28,2023/12/19,2023/12/19,Consumption,1,Cash Collection,A,A,1170.28,0,Paid,Approved,Qualified
6426,721,2023/11/24,2023,11,600,0.28,168,0,2,770.28,770.28,2023/12/24,2023/12/24,Business,1,Cash Collection,A,A,770.28,0,Paid,Approved,Qualified
6411,726,2023/11/05,2023,11,1600,0.28,448,0,0,2048.28,2048.28,2023/12/05,2023/12/05,Consumption,1,Cash Collection,B,A,2048.28,0,Paid,Approved,Qualified
6419,727,2023/11/19,2023,11,2300,0.28,644,0,6,2950.28,2950.28,2023/12/19,2023/12/19,Consumption,1,Cash Collection,B,A,2950.28,0,Paid,Approved,Qualified
6463,728,2023/12/20,2023,12,1300,0.28,364,0,6,1670.28,1670.28,2024/01/19,2024/01/19,Consumption,1,Cash Collection,B,A,1670.28,0,Paid,Approved,Qualified
6470,729,2023/12/23,2023,12,5300,0.28,1484,0,0,6784.28,6784.28,2024/01/22,2024/01/22,Consumption,1,Cash Collection,C,B,6784.28,0,Paid,Approved,Qualified
6480,741,2023/12/30,2023,12,2300,0.28,644,0,12,2956.28,2956.28,2024/01/29,2024/01/29,Consumption,1,Cash Collection,B,A,2956.28,0,Paid,Approved,Qualified
6490,743,2023/12/30,2023,12,6300,0.28,1764,0,0,8064.28,8064.28,2024/01/29,2024/01/29,Clothing,1,Cash Collection,C,B,8064.28,0,Paid,Approved,Qualified
6467,746,2023/12/21,2023,12,2800,0.28,784,0,12,3596.28,3596.28,2024/01/20,2024/01/20,Consumption,1,Cash Collection,B,A,3596.28,0,Paid,Approved,Qualified
6479,747,2023/12/29,2023,12,2300,0.28,644,0,12,2956.28,2956.28,2024/01/28,2024/01/28,Consumption,1,Cash Collection,B,A,2956.28,0,Paid,Approved,Qualified
6473,748,2023/12/23,2023,12,500,0.28,140,0,2,642.28,642.28,2024/01/22,2024/01/22,Consumption,1,Cash Collection,A,A,642.28,0,Paid,Approved,Qualified
6488,749,2023/12/30,2023,12,2800,0.28,784,0,12,3596.28,3596.28,2024/01/29,2024/01/29,Clothing,1,Cash Collection,B,A,3596.28,0,Paid,Approved,Qualified
6492,752,2023/12/30,2023,12,3800,0.28,1064,0,18,4882.28,4882.28,2024/01/29,2024/01/29,Clothing,1,Cash Collection,B,A,4882.28,0,Paid,Approved,Qualified
6494,753,2023/12/30,2023,12,900,0.28,252,0,2,1154.28,1154.28,2024/01/29,2024/01/29,Clothing,1,Cash Collection,A,A,1154.28,0,Paid,Approved,Qualified
6487,754,2023/12/30,2023,12,1600,0.28,448,0,6,2054.28,2054.28,2024/01/29,2024/01/29,Clothing,1,Cash Collection,B,A,2054.28,0,Paid,Approved,Qualified
6450,755,2023/12/02,2023,12,1300,0.28,364,0,6,1670.28,1670.28,2024/01/01,2024/01/01,Consumption,1,Cash Collection,B,A,1670.28,0,Paid,Approved,Qualified
6482,756,2023/12/30,2023,12,2300,0.28,644,0,12,2956.28,2956.28,2024/01/29,2024/01/29,Clothing,1,Cash Collection,B,A,2956.28,0,Paid,Approved,Qualified
6497,760,2023/12/30,2023,12,2300,0.28,644,0,12,2956.28,2956.28,2024/01/29,2024/01/29,Clothing,1,Cash Collection,B,A,2956.28,0,Paid,Approved,Qualified
6493,761,2023/12/30,2023,12,1700,0.28,476,0,6,2182.28,2182.28,2024/01/29,2024/01/29,Clothing,1,Cash Collection,B,A,2182.28,0,Paid,Approved,Qualified
6483,762,2023/12/30,2023,12,1400,0.28,392,0,6,1798.28,1798.28,2024/01/29,2024/01/29,Clothing,1,Cash Collection,B,A,1798.28,0,Paid,Approved,Qualified
9893,763,2024/01/28,2024,1,2300,0.28,644,0,12,2956.28,2956.28,2024/02/27,2024/02/27,Consumption,1,Cash Collection,B,A,2956.28,0,Paid,Approved,Qualified
9891,764,2024/01/27,2024,1,2300,0.28,644,0,12,2956.28,2956.28,2024/02/26,2024/02/26,Consumption,1,Cash Collection,B,A,2956.28,0,Paid,Approved,Qualified
10040,765,2024/01/28,2024,1,3800,0.28,1064,0,0,4864.28,4864.28,2024/02/27,2024/02/27,Education,1,Cash Collection,B,A,4864.28,0,Paid,Approved,Qualified
9544,766,2024/01/20,2024,1,500,0.28,140,0,2,642.28,642.28,2024/02/19,2024/02/19,Consumption,1,Cash Collection,A,A,642.28,0,Paid,Approved,Qualified
10020,767,2024/01/20,2024,1,3300,0.28,924,0,18,4242.28,4242.28,2024/02/19,2024/02/19,Consumption,1,Cash Collection,B,A,4242.28,0,Paid,Approved,Qualified
9814,768,2024/01/28,2024,1,1800,0.28,504,0,12,2316.28,2316.28,2024/02/27,2024/02/27,Consumption,1,Cash Collection,B,A,2316.28,0,Paid,Approved,Qualified
9731,769,2024/01/28,2024,1,1100,0.28,308,0,6,1414.28,1414.28,2024/02/27,2024/02/27,Consumption,1,Cash Collection,B,A,1414.28,0,Paid,Approved,Qualified
9546,770,2024/01/28,2024,1,500,0.28,140,0,2,642.28,642.28,2024/02/27,2024/02/27,Education,1,Cash Collection,A,A,642.28,0,Paid,Approved,Qualified
9961,771,2024/01/20,2024,1,2800,0.28,784,0,18,3602.28,3602.28,2024/02/19,2024/02/19,Consumption,1,Cash Collection,B,A,3602.28,0,Paid,Approved,Qualified
10069,772,2024/01/28,2024,1,4800,0.28,1344,0,0,6144.28,6144.28,2024/02/27,2024/02/27,Consumption,1,Cash Collection,B,A,6144.28,0,Paid,Approved,Qualified
9959,774,2024/01/19,2024,1,2800,0.28,784,0,18,3602.28,3602.28,2024/02/18,2024/02/18,Consumption,1,Cash Collection,B,A,3602.28,0,Paid,Approved,Qualified
